Name,M1,M2,M3,Support,Temperature,Ar_flow,CH4_flow,O2_flow,C2y
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,1.5,5.666666667,2.833333333,4.692741471
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,2.25,8.5,4.25,4.655241781
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,7,2.571428571,0.428571429,4.555911353
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,1.5,5.666666667,2.833333333,4.537446074
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,1.5,6.8,1.7,4.264622775
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,4,4,2,4.168154046
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,2.25,8.5,4.25,4.0959636
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,10.5,3,1.5,4.004803142
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,3,11.33333333,5.666666667,3.84047686
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,4,4.8,1.2,3.727833669
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,7,2,1,3.686223834
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,1.5,7.285714286,1.214285714,3.675714972
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,1.5,5.666666667,2.833333333,3.669533489
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,3,11.33333333,5.666666667,3.561048824
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,4,5.142857143,0.857142857,3.479858068
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,6,6,3,3.257442634
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,2.25,8.5,4.25,3.242510335
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,3,13.6,3.4,3.200925541
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,14,4,2,3.136287021
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,1.5,5.666666667,2.833333333,3.020982882
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,7,2,1,2.886592823
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,4,4,2,2.816549222
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,7,2,1,2.759537545
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,6,7.2,1.8,2.745515354
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,6,6,3,2.722727514
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,8,9.6,2.4,2.706965714
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,14,4,2,2.565940857
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,10.5,3,1.5,2.454811699
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,10.5,3,1.5,2.420062784
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,2.25,8.5,4.25,2.384519531
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,1.5,5.666666667,2.833333333,2.352410231
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,8,8,4,2.305788561
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,4,5.142857143,0.857142857,2.199886034
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,700,3,11.33333333,5.666666667,2.181432279
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,8,10.28571429,1.714285714,2.110887674
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,7,2.571428571,0.428571429,2.110372085
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,4,4,2,2.043287871
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,2.25,10.2,2.55,2.027322409
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,14,5.142857143,0.857142857,2.00939581
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,3,13.6,3.4,1.936119738
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,4,4,2,1.907929638
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,8,8,4,1.907266271
