support,promoters,formula,predicted_max_yield,ensemble_std,nn_distance,min_element_support,tier
Ba,Mo+Nd+Mg,Ba(90.0) Mo(3.33) Nd(3.33) Mg(3.33),17.43,0.167,2.436,83,IN_SUPPORT
Ba,Mo+La+Ca,Ba(90.0) Mo(3.33) La(3.33) Ca(3.33),17.426,0.203,0.286,121,IN_SUPPORT
Ba,Mo+Y+Tb,Ba(90.0) Mo(3.33) Y(3.33) Tb(3.33),17.42,0.169,3.338,75,IN_SUPPORT
Ba,Mo+Fe+Ca,Ba(90.0) Mo(3.33) Fe(3.33) Ca(3.33),17.417,0.135,0.158,96,IN_SUPPORT
Ba,Mo+Tb+Sr,Ba(90.0) Mo(3.33) Tb(3.33) Sr(3.33),17.41,0.157,3.222,67,IN_SUPPORT
Ba,Zn+Fe+Ti,Ba(90.0) Zn(3.33) Fe(3.33) Ti(3.33),17.41,0.165,0.157,96,IN_SUPPORT
Ba,Fe+Eu+Zr,Ba(90.0) Fe(3.33) Eu(3.33) Zr(3.33),17.404,0.163,2.435,74,IN_SUPPORT
Ba,Zn+Y+La,Ba(90.0) Zn(3.33) Y(3.33) La(3.33),17.4,0.119,2.553,84,IN_SUPPORT
Ba,Zn+Fe+Tb,Ba(90.0) Zn(3.33) Fe(3.33) Tb(3.33),17.398,0.108,3.223,75,IN_SUPPORT
Ba,Li+Fe+Eu,Ba(90.0) Li(3.33) Fe(3.33) Eu(3.33),17.396,0.246,3.481,74,IN_SUPPORT
Ba,W+Y+La,Ba(90.0) W(3.33) Y(3.33) La(3.33),17.393,0.15,2.294,84,IN_SUPPORT
Ba,Cs+Mo+Nd,Ba(90.0) Cs(3.33) Mo(3.33) Nd(3.33),17.389,0.113,3.114,83,IN_SUPPORT
Ba,Cs+Mo+Tb,Ba(90.0) Cs(3.33) Mo(3.33) Tb(3.33),17.382,0.132,2.09,75,IN_SUPPORT
Ba,W+Eu+Sr,Ba(90.0) W(3.33) Eu(3.33) Sr(3.33),17.375,0.155,3.416,67,IN_SUPPORT
Ba,Mo+K,Ba(93.3) Mo(3.33) K(3.33),17.374,0.124,0.138,95,IN_SUPPORT
Ba,Y+La+Sr,Ba(90.0) Y(3.33) La(3.33) Sr(3.33),17.373,0.108,3.338,67,IN_SUPPORT
Ba,Cs+Fe+Sr,Ba(90.0) Cs(3.33) Fe(3.33) Sr(3.33),17.372,0.137,3.684,67,IN_SUPPORT
Ba,Mo+Li+Mg,Ba(90.0) Mo(3.33) Li(3.33) Mg(3.33),17.37,0.092,0.164,113,IN_SUPPORT
Ba,W+Cs+Zn,Ba(90.0) W(3.33) Cs(3.33) Zn(3.33),17.369,0.136,2.548,111,IN_SUPPORT
Ba,Mo+Y+Zr,Ba(90.0) Mo(3.33) Y(3.33) Zr(3.33),17.367,0.094,2.435,84,IN_SUPPORT
Ba,Zn+La+Sr,Ba(90.0) Zn(3.33) La(3.33) Sr(3.33),17.36,0.155,2.548,67,IN_SUPPORT
Ba,Mo+Sr+Zr,Ba(90.0) Mo(3.33) Sr(3.33) Zr(3.33),17.357,0.111,0.141,67,IN_SUPPORT
Ba,W+Mo+Nd,Ba(90.0) W(3.33) Mo(3.33) Nd(3.33),17.354,0.115,3.343,83,IN_SUPPORT
